JAMUNABANK,6/11/2012,22.2,22.5,21.9,22,359250
JAMUNAOIL,6/11/2012,252.5,255.3,250,253.9,226600
JUTESPINN,6/11/2012,85.1,86.9,85,85.6,800
KARNAPHULI,6/11/2012,37.5,38,36.8,37.7,30800
KEYACOSMET,6/11/2012,43.4,43.4,41.8,42.8,360500
KPCL,6/11/2012,57,57.3,56.1,56.8,322200
LANKABAFIN,6/11/2012,88.5,89.2,86.5,88.3,542000
LEGACYFOOT,6/11/2012,25.4,25.9,25,25.3,12000
LIBRAINFU,6/11/2012,300,300,295.4,297.7,400
LINDEBD,6/11/2012,525,530,525,526.4,500
MAKSONSPIN,6/11/2012,17.1,17.1,16.8,17,151500
MALEKSPIN,6/11/2012,18.5,18.6,18.2,18.4,109500
MEGHNACEM,6/11/2012,140.5,143.7,139.9,141.3,43300
MEGHNALIFE,6/11/2012,175.6,178.7,171.3,172.1,88550
MERCANBANK,6/11/2012,20.9,21.1,20.6,20.8,292500
MERCINS,6/11/2012,34.4,34.4,33.1,33.7,63000
METROSPIN,6/11/2012,20,20,19.5,19.8,39500
MICEMENT,6/11/2012,111.8,112.4,110.7,111.5,302200
MIDASFIN,6/11/2012,64.9,65,62.7,63.5,25500
MITHUNKNIT,6/11/2012,88.5,89.9,85.5,87.7,5800
MJLBD,6/11/2012,88,88.9,86.7,87.3,122300
MONNOCERA,6/11/2012,41,41,40.5,40.6,29250
MTB,6/11/2012,25.1,25.5,25.1,25.1,19500
NATLIFEINS,6/11/2012,309,309,303,306.7,7550
NAVANACNG,6/11/2012,97.5,98,95.6,96.8,102700
NBL,6/11/2012,29.8,30,29.3,29.4,1157800
NCCBANK,6/11/2012,21,21.4,20.9,21,691000
NHFIL,6/11/2012,64.3,64.3,61,62.3,20500
NITOLINS,6/11/2012,44,45.9,44,44.2,3500
NORTHRNINS,6/11/2012,51.4,51.4,49,50.2,39000
NPOLYMAR,6/11/2012,41.1,42,41.1,41.7,6700
NTC,6/11/2012,630,645,630,638.6,450
NTLTUBES,6/11/2012,61,63.9,61,61.6,7600
OCL,6/11/2012,47.5,48.2,47.1,47.8,12100
OLYMPIC,6/11/2012,131,132.2,130,131.9,82000
ONEBANKLTD,6/11/2012,25,25.2,24.3,24.4,483500
ORIONINFU,6/11/2012,44.5,44.6,43.7,44.2,52000
PARAMOUNT,6/11/2012,31,31,28.5,28.8,10000
PEOPLESINS,6/11/2012,28.9,29,28,28.1,49600
PHARMAID,6/11/2012,199.2,202.5,197,199.5,17900
PHENIXINS,6/11/2012,68.1,68.9,67,68.5,249600
PHOENIXFIN,6/11/2012,70,70.5,68.6,69.9,73500
PIONEERINS,6/11/2012,88,88,85,87.8,82000
PLFSL,6/11/2012,45.9,45.9,44.7,45.5,307700
POPULARLIF,6/11/2012,193.1,197,191.1,193.9,10000
POWERGRID,6/11/2012,63.9,63.9,61.8,62.5,11500
PRAGATIINS,6/11/2012,74,77,74,76.5,9300
PRAGATILIF,6/11/2012,167.6,167.6,167.5,167.5,1500
PREMIERBAN,6/11/2012,18.7,18.9,18.4,18.8,81000
PRIMEBANK,6/11/2012,35.6,35.7,35.3,35.5,176000
PRIMEFIN,6/11/2012,63,63.4,61.2,62.4,58500
PRIMEINSUR,6/11/2012,47.7,48,47.3,47.6,4500
PRIMETEX,6/11/2012,22.4,22.5,22,22.2,33000
PROVATIINS,6/11/2012,33.7,35.9,33.7,34.6,9500
PUBALIBANK,6/11/2012,32.4,33,32.4,32.6,363200
PURABIGEN,6/11/2012,83.9,84.1,83.9,84,3000
QSMDRYCELL,6/11/2012,47,48,46.1,47.8,72000
RAHIMAFOOD,6/11/2012,20,20.4,19.9,20,13000
